no,name,scientificName,category,rarity,sizeMinCm,sizeMaxCm,habitatType,diet,behavior,danger,edibility,venomous,poisonous,description,lifeSpan,reproduction,migration,endangered,funFact,imageUrl,imageCrNotes,locations
1,Reef manta ray,Mobula alfredi,Fishes,3,300,500,"Cleaning stations (e.g., Nusa Penida), coastal, oceanic",Zooplankton (filter feeding),Filter-feeder; visits cleaning stations; gentle in currents.,Low – harmless filter‑feeder,No – protected in Indonesia,TRUE,FALSE,Reef manta ray: occasional cleaning stations (e.g. near Nusa Penida (harmless) in Bali,~40–50+ yrs,Aplacental live‑bearer; ~1 pup/12–13 mo,Regional movements with site fidelity,Vulnerable (global),One of the largest brains among fishes,https://nusapenida.org/wp-content/uploads/2020/11/Ikan-pari-Manta-Nusa-Penida-Bali.jpg,.,"Nusa Penida, Sub‑sites: Manta Point, Manta Bay, Toyapakeh"
2,Ocean sunfish (mola),Mola alexandrini,Fishes,2,200,300,"Deep pelagic, visits Nusa Penida",Jellies/gelatinous zooplankton,Pelagic drifter; seasonal; visits cleaning stations; shy.,Low – large but gentle,Not targeted locally,FALSE,FALSE,Ocean sunfish (mola): rare deep pelagic near Nusa Penida in Bali,Long (uncertain),Pelagic broadcast spawner; very fecund,Vertical migrations; cleaning stations,Not clearly assessed; related spp. Vulnerable,Often miscalled M. mola; Bali is M. alexandrini,https://lh5.googleusercontent.com/VzJ_iNbp_DKD-h54eI5s_-HkaIiCP2aKpOIBh-avF3OqNPAMivHphQWx8smxWvNzo6oH1q_j3OMQQj0vyhUTbOzD_arP4Q99xGwd9FTIl-ykEL4JNa_ysz6HxqIVdhNRWC3YFx1o,.,"Nusa Penida, Sub‑sites: Crystal Bay, Blue Corner, Toyapakeh (seasonal)"
3,Blacktip reef shark,Carcharhinus melanopterus,Fishes,3,120,170,"Shallow reefs, lagoons","Fish, cephalopods, crustaceans",Reef patrols; wary of divers; active crepuscular hunter.,Medium – shy; can bite if provoked,Avoid – conservation/mercury,FALSE,FALSE,Blacktip reef shark: occasional shallow reefs near Nusa Penida (caution needed) in Bali,10–15+ yrs,Viviparous (live‑bearing),Home ranges on reefs,Vulnerable (parts of range),Distinct black fin tips,https://upload.wikimedia.org/wikipedia/commons/7/76/Blacktip_reef_shark_%28Carcharhinus_melanopterus%29_Moorea_5.jpg,"By Charles J. Sharp - Own work, from Sharp Photography, sharpphotography.co.uk, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=155817556","Nusa Penida, Sub‑sites: Toyapakeh, SD Point, Menjangan (walls)"
4,Whitetip reef shark,Triaenodon obesus,Fishes,4,130,160,"Reefs, caves by day","Reef fishes, octopus",Nocturnal benthic rover; rests in caves by day.,Low – generally docile,Avoid – conservation/mercury,FALSE,FALSE,Whitetip reef shark: common reefs near Tulamben (harmless) in Bali,~20+ yrs,Viviparous,Resident small ranges,Near Threatened/Vulnerable regionally,Can rest on bottom (buccal pumping),https://www.lotusbungalows.com/wp-content/uploads/2018/05/whitetip-reef-shark-1200x800.jpg,.,"Tulamben, Sub‑sites: Caves, Drop‑off, also Nusa Penida, Menjangan"
5,Grey reef shark,Carcharhinus amblyrhynchos,Fishes,3,150,200,"Outer reef slopes, drop‑offs","Fish, cephalopods",Pelagic reef predator; patrols drop-offs; wary.,Medium – territorial,Avoid – conservation/mercury,FALSE,FALSE,Grey reef shark: occasional outer reef slopes near Nusa Penida in Bali,~20–25 yrs,Viviparous,Local movements along reef edges,Vulnerable (global),Threat posture when agitated,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Corl0207_%2828225976491%29.jpg/2560px-Corl0207_%2828225976491%29.jpg,"By NOAA Photo Library - corl0207, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=63614162","Nusa Penida, Sub‑sites: Blue Corner, Ceningan Channel"
6,Blue‑spotted ribbontail ray,Taeniura lymma,Fishes,4,30,70,"Shallow sandy lagoons, reefs","Crustaceans, worms, small fish",Benthic; hides in sand; venomous tail spines.,Medium – venomous tail spines,Not typically eaten,TRUE,FALSE,Blue‑spotted ribbontail ray: common shallow sandy lagoons near Amed (caution needed) in Bali,~10–15 yrs,Ovoviviparous,Small home ranges,Near Threatened (some lists),Bright blue warning spots,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Raya_de_arrecife_%28Taeniura_lymma%29%2C_mar_Rojo%2C_Egipto%2C_2023-04-14%2C_DD_64.jpg/2560px-Raya_de_arrecife_%28Taeniura_lymma%29%2C_mar_Rojo%2C_Egipto%2C_2023-04-14%2C_DD_64.jpg,"By Diego Delso, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=133521841","Amed, Tulamben, Padang Bai, Nusa Penida, Menjangan"
7,Spotted eagle ray,Aetobatus ocellatus,Fishes,3,100,200,"Coastal reefs, sandy flats","Mollusks, crustaceans",Glides over sand flats; digs for mollusks; shy.,Medium – tail spine can injure,Avoid – vulnerable life history,TRUE,FALSE,Spotted eagle ray: occasional coastal reefs near Nusa Penida (drifts) (caution needed) in Bali,~25 yrs (est.),Ovoviviparous (live‑bearing),Local/regional movements,Vulnerable (parts of range),Digs with snout for prey,https://upload.wikimedia.org/wikipedia/commons/a/ad/Eagle_Ray_Turks_and_Caicos_Dec_15_2006.JPG,"By the manta ray had a family - Transferred from en.wikipedia to Commons by Jacob Robertson using CommonsHelper., Public Domain, https://commons.wikimedia.org/w/index.php?curid=9511187","Nusa Penida (drifts), Menjangan (walls)"
8,Reef stonefish,Synanceia verrucosa,Fishes,3,30,40,"Reef flats, rubble, camouflage",Small fish & shrimp,Sedentary ambush predator; superb camouflage; extremely venomous.,Extreme – most venomous fish,Avoid; dangerous to handle,TRUE,FALSE,Reef stonefish: occasional reef flats near Padang Bai in Bali,Poorly documented,External fertilization; eggs on substrate,Sedentary ambush,Least Concern,Strikes prey in ~0.015 s,https://images.redseacreatures.com/creatures/images/reef-stonefish/1704015137885-633131365.jpeg,.,"Padang Bai, Sub‑sites: Jepun, Blue Lagoon, Amed, Tulamben (rubble)"
9,Common lionfish,Pterois volitans,Fishes,4,25,38,"Reefs, ledges, rubble",Small fish & inverts,Slow ambush predator; spreads fins; venomous spines.,High – venomous spines,Yes – meat safe; remove spines,TRUE,FALSE,Common lionfish: common reefs near Tulamben (caution needed) in Bali,~10–15 yrs (reported),Frequent spawner; buoyant eggs,Site‑attached,Not threatened,Native to Indonesia; invasive in Atlantic,https://www.australiangeographic.com.au/wp-content/uploads/2023/03/shutterstock_1656062215-edited.jpg,.,"Tulamben, Sub‑site: USAT Liberty Wreck, also Amed, Menjangan"
10,Giant trevally (GT),Caranx ignobilis,Fishes,3,80,150,"Lagoons, seaward reefs, estuaries (juv)","Fish, cephalopods, crustaceans",Fast pelagic hunter; patrols currents and drop-offs.,Medium – strong bites; ciguatera risk large fish,Edible but avoid large reef individuals,FALSE,FALSE,Giant trevally (GT): occasional lagoons near Nusa Penida (caution needed) in Bali,Decades,Spawns on seaward reefs/banks,Local reef moves; spawning aggregations,Least Concern (globally),Apex reef predator; clever hunting,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Caranx_ignobilis.jpg/1920px-Caranx_ignobilis.jpg,"By Dr. Dwayne Meadows, NOAA/NMFS/OPR - http://www.photolib.noaa.gov/htmls/reef0735.htm, Public Domain, https://commons.wikimedia.org/w/index.php?curid=2114432","Nusa Penida, Sub‑sites: SD Point, Toyapakeh, Menjangan"
11,Giant moray,Gymnothorax javanicus,Fishes,4,100,250,"Reefs, rubble, caves, crevices","Fish, crustaceans",Nocturnal ambush predator; retreats in crevices; bites if provoked.,Medium – defensive bite; toxin risk if eaten,Avoid – mercury/ciguatera risk,TRUE,FALSE,Giant moray: common reefs near Tulamben (caution needed) in Bali,Likely decades,Broadcast spawner; leptocephalus larva,Larval drift; site‑attached adults,Least Concern,Cooperative hunts with groupers,https://upload.wikimedia.org/wikipedia/commons/8/8a/Moray_eel_komodo.jpg,"By Nhobgood Nick Hobgood - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=5635360","Tulamben, Sub‑site: USAT Liberty, also Amed, Menjangan"
12,Titan triggerfish,Balistoides viridescens,Fishes,4,45,75,"Reefs, sandy patches, nest cones","Urchins, mollusks, crustaceans",Territorial nester; may charge; avoid during breeding.,Medium–High – territorial bites,Avoid – ciguatera risk (large),FALSE,FALSE,Titan triggerfish: common reefs near Nusa Penida (caution needed) in Bali,~10+ yrs (est.),Guards eggs in sand cone,Site‑attached territories,Least Concern,Chases divers from nest cone,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Titan_Triggerfish_imported_from_iNaturalist_photo_324702096_on_3_November_2024_%28edit%29.jpg/1920px-Titan_Triggerfish_imported_from_iNaturalist_photo_324702096_on_3_November_2024_%28edit%29.jpg,"By (c) Jan Ebr & Ivana Ebrová, some rights reserved (CC BY) - https://www.inaturalist.org/photos/324702096, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=163127864","Nusa Penida, Padang Bai, Tulamben, Amed (sand patches)"
13,Clownfish (common),Amphiprion ocellaris,Fishes,4,7,11,Host anemones on reefs,"Plankton, small inverts, algae",Anemone symbiont; territorial pair; tends eggs.,Low – may nip near nest,No,FALSE,FALSE,Clownfish (common): common host anemones on reefs near Tulamben in Bali,~6–10 yrs (wild est.),Eggs near anemone; male guards,Site‑attached to host,Least Concern,Symbiosis with anemones; sex change,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Amphiprion_ocellaris_%28Clown_anemonefish%29_by_Nick_Hobgood.jpg/1920px-Amphiprion_ocellaris_%28Clown_anemonefish%29_by_Nick_Hobgood.jpg,"By Nick Hobgood - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=27308954","Tulamben, Amed (anemone patches), Menjangan, Padang Bai"
